Date, Close/Last, Volume, Open, High, Low
06/02/2020, 8817.55, 0, 8870.19, 8881.96, 8778.22
06/01/2020, 8813.01, 0, 8718.18, 8872.94, 8712.06
05/29/2020, 8698.91, 0, 8611.99, 8709.44, 8573.8
05/28/2020, 8669.7, 0, 8755.09, 8758.14, 8639.27
05/27/2020, 8684.13, 0, 8690.09, 8705.9, 8536.48
05/26/2020, 8541.64, 0, 8538.76, 8601.4, 8520.79
05/22/2020, 8320.23, 0, 8229.54, 8324.86, 8200.2
05/21/2020, 8228.08, 0, 8234.57, 8276.84, 8192.41
05/20/2020, 8274.01, 0, 8250.91, 8299.04, 8232.59
05/19/2020, 8162.36, 0, 8279.09, 8317.91, 8160.36
05/18/2020, 8316.21, 0, 8276.52, 8358.52, 8234.61
05/15/2020, 8028.02, 0, 7951.56, 8053.4, 7903
05/14/2020, 8021.16, 0, 7858.95, 8024.35, 7784.66
05/13/2020, 7979.19, 0, 8060.08, 8121.73, 7916.3
05/12/2020, 8089, 0, 8333.82, 8357.91, 8089
05/11/2020, 8309, 0, 8211.85, 8382.1, 8208.79
05/08/2020, 8305.81, 0, 8243.09, 8315.23, 8209.44
05/07/2020, 8109.44, 0, 8032.27, 8190.85, 8032.27
05/06/2020, 7945.17, 0, 8085.18, 8116.71, 7944.16
05/05/2020, 8058, 0, 8065.34, 8159.11, 8048.54
05/04/2020, 7965.88, 0, 7903.59, 7969.15, 7854.34
05/01/2020, 7969.07, 0, 8051.59, 8059.18, 7933.13
04/30/2020, 8201.02, 0, 8230.77, 8262.25, 8134.16
04/29/2020, 8361.23, 0, 8359.98, 8449.06, 8347.22
04/28/2020, 8210.78, 0, 8359.67, 8411.86, 8205.93
04/27/2020, 8182.22, 0, 7987.72, 8198.67, 7971.74
04/24/2020, 7893.63, 0, 7902.91, 7917.69, 7784.38
04/23/2020, 7831.01, 0, 7850.72, 7944.19, 7799.93
04/22/2020, 7829.56, 0, 7858.13, 7891.53, 7774.06
04/21/2020, 7723.86, 0, 7743.69, 7810.81, 7693.67
04/20/2020, 7934.44, 0, 7995.06, 8055.93, 7885.76
04/17/2020, 8121.2, 0, 8115.9, 8140.75, 8024.54
04/16/2020, 7909.8, 0, 7881.84, 7930.83, 7780.7
04/15/2020, 7860.3, 0, 7875.68, 7924.17, 7781.25
04/14/2020, 8059.91, 0, 8022.92, 8109.53, 7982.66
04/13/2020, 7856.05, 0, 8119.16, 8119.28, 7777.24
04/09/2020, 8170.13, 0, 8047.35, 8246.2, 8040.78
04/08/2020, 7890.8, 0, 7643.65, 7923.01, 7572.34
04/07/2020, 7541.83, 0, 7922.04, 7927.25, 7530.57
04/06/2020, 7604.37, 0, 7444.16, 7632.17, 7405.42
04/03/2020, 7134.5, 0, 7164.59, 7231.43, 7014.27
04/02/2020, 7186.68, 0, 7001.24, 7220.28, 6997.27
04/01/2020, 7040.64, 0, 7081.77, 7095.66, 6970.1
03/31/2020, 7395.99, 0, 7515.71, 7523.88, 7312.86
03/30/2020, 7555.69, 0, 7435.7, 7578.39, 7293.04
03/27/2020, 7386.02, 0, 7259.84, 7569.27, 7220.18
03/26/2020, 7561.06, 0, 7166.09, 7590.86, 7166.09
03/25/2020, 7089.4, 0, 6786.89, 7312.18, 6754.09
03/24/2020, 6756.58, 0, 6385.49, 6772.93, 6380.46
03/23/2020, 6082.41, 0, 6422.52, 6422.52, 5952.8
03/20/2020, 6458.86, 0, 6757.15, 6879.22, 6388.26
03/19/2020, 6727.56, 0, 6536.27, 6846.8, 6249.43
03/18/2020, 6574.3, 0, 6810.31, 6935.4, 6361.8
03/17/2020, 7214.13, 0, 7020.02, 7304.29, 6771.06
03/16/2020, 6842.63, 0, 7437.54, 7451.75, 6841.08
03/13/2020, 7976.94, 0, 7696.08, 7993.42, 7339.67
03/12/2020, 7299.71, 0, 7549.62, 7761.52, 7290.18
03/11/2020, 8167.04, 0, 8398.32, 8467.82, 8089.48
03/10/2020, 8638.3, 0, 8583.63, 8646.2, 8266.14
03/09/2020, 8300.65, 0, 8408.11, 8584.82, 8296.64
