Date, Close/Last, Volume, Open, High, Low
06/01/2020, 31.4467, 9146, 31.1, 31.64, 31.1
05/29/2020, 31.0423, 17058, 31.4, 31.4, 30.89
05/28/2020, 31.2435, 13624, 31.1, 31.2684, 31.065
05/27/2020, 31.02, 15895, 31.12, 31.16, 30.465
05/26/2020, 30.5672, 18665, 30.35, 30.8, 30.35
05/22/2020, 29.66, 27079, 29.491, 29.67, 29.35
05/21/2020, 29.3876, 12932, 29.42, 29.6299, 29.24
05/20/2020, 29.34, 18919, 29.16, 29.34, 29.085
05/19/2020, 28.72, 62531, 29.08, 29.23, 28.72
05/18/2020, 29.26, 29661, 28.69, 29.42, 28.69
05/15/2020, 27.7146, 38064, 27.39, 27.7146, 27.31
05/14/2020, 27.562, 31141, 27.42, 27.57, 26.5
05/13/2020, 27.5621, 28768, 28.169, 28.169, 27.5211
05/12/2020, 28.4815, 29997, 29.86, 29.86, 28.4815
05/11/2020, 30.103, 20656, 29.98, 30.497, 29.72
05/08/2020, 30.325, 25609, 29.725, 30.38, 29.725
05/07/2020, 29.1664, 82625, 29.3, 29.5079, 29.115
05/06/2020, 28.8585, 14666, 29.29, 29.29, 28.8585
05/05/2020, 28.94, 13359, 29.15, 29.38, 28.91
05/04/2020, 28.7791, 10435, 28.59, 28.82, 28.2398
05/01/2020, 28.9759, 14184, 29.35, 29.47, 28.8149
04/30/2020, 30.12, 25867, 30.75, 30.75, 29.52
04/29/2020, 30.7748, 21825, 31.12, 31.3403, 30.7748
04/28/2020, 30.6362, 31410, 31.11, 31.2718, 30.61
04/27/2020, 30.3622, 9209, 29.42, 30.41, 29.42
04/24/2020, 29.1923, 10327, 29.12, 29.39, 28.765
04/23/2020, 28.9004, 7083, 29.37, 29.65, 28.9004
04/22/2020, 29.3801, 16772, 29.459, 29.54, 29.18
04/21/2020, 28.98, 19386, 28.6, 29.24, 28.5481
04/20/2020, 29.4765, 26500, 29.51, 29.82, 29.415
04/17/2020, 30.1942, 14498, 30.136, 30.37, 29.86
04/16/2020, 29.3731, 15762, 29.5, 29.54, 29
04/15/2020, 29.2524, 23041, 29.87, 29.87, 29.1
04/14/2020, 30.7298, 18258, 30.73, 31.06, 30.5808
04/13/2020, 29.8849, 25261, 31.08, 31.1, 29.857
04/09/2020, 31.3449, 16369, 30, 31.3449, 30
04/08/2020, 29.3379, 14295, 28.58, 29.4359, 28.5
04/07/2020, 28.317, 34326, 29.08, 29.66, 28.29
04/06/2020, 28.22, 12008, 27.56, 28.3, 27.56
04/03/2020, 26.42, 10894, 26.64, 26.9106, 25.89
04/02/2020, 26.89, 23482, 26.64, 27.2436, 26.39
04/01/2020, 26.6982, 13832, 27.36, 27.36, 25.92
03/31/2020, 28.53, 10873, 28.5881, 28.69, 27.6355
03/30/2020, 29.09, 37134, 27.82, 29.1245, 27.66
03/27/2020, 28.121, 17227, 27.99, 28.87, 26.63
03/26/2020, 27.6003, 33120, 26.15, 27.6003, 26.02
03/25/2020, 25.9046, 32802, 25.24, 26.99, 25
03/24/2020, 25.23, 16559, 24.2, 25.23, 23.9679
03/23/2020, 23.2489, 35487, 24.01, 24.01, 22.5
03/20/2020, 24.0361, 137690, 24.9102, 25.3484, 23.7792
03/19/2020, 24.7111, 32590, 24.5617, 25.2985, 24.2232
03/18/2020, 25.0197, 34206, 24.5717, 25.3881, 23.9644
03/17/2020, 26.0452, 30301, 24.3128, 26.6085, 23.9046
03/16/2020, 23.6657, 22517, 26.5629, 27.6282, 23.6657
03/13/2020, 29.4004, 24791, 27.8274, 29.4004, 26.6326
03/12/2020, 26.4392, 33391, 26.5928, 27.3893, 25.4877
03/11/2020, 28.837, 28410, 30.396, 30.396, 28.5442
03/10/2020, 31.0631, 30927, 31.1328, 31.1328, 29.4502
03/09/2020, 30.0793, 37998, 31.0531, 31.2523, 29.8783
03/06/2020, 33.0543, 24271, 32.9747, 33.1638, 31.8831
03/05/2020, 33.801, 22004, 33.9404, 34.2237, 33.3978
03/04/2020, 34.7325, 22879, 33.9603, 34.7656, 33.8787
03/03/2020, 33.2833, 158887, 33.3231, 34.1266, 33.0045
03/02/2020, 33.2335, 48663, 32.0089, 33.2335, 31.6804
02/28/2020, 31.9193, 68463, 31.8397, 32.0089, 30.8042
02/27/2020, 32.8035, 20611, 34.3387, 34.3387, 32.7955
02/26/2020, 34.5456, 18083, 34.7867, 35.2148, 34.5378
02/25/2020, 34.7639, 66987, 36.0511, 36.0511, 34.658
02/24/2020, 35.9564, 48799, 36.1606, 36.38, 35.8918
02/21/2020, 36.748, 29309, 36.7879, 36.8954, 36.6953
02/20/2020, 36.8164, 24950, 36.4792, 36.8164, 36.3398
02/19/2020, 36.4315, 23686, 36.8376, 36.8376, 36.4131
02/18/2020, 36.7281, 38147, 36.6385, 36.7281, 36.4494
02/14/2020, 36.5489, 18878, 36.2204, 36.5489, 36.1308
02/13/2020, 36.0473, 24630, 35.8819, 36.1407, 35.8819
02/12/2020, 35.8789, 32550, 35.7325, 35.9804, 35.5732
02/11/2020, 35.6868, 24677, 35.4338, 35.7524, 35.4338
02/10/2020, 35.3899, 27882, 35.0555, 35.3899, 35.0555
02/07/2020, 34.9855, 13407, 34.9759, 35.1451, 34.9111
02/06/2020, 35.0655, 29817, 35.0953, 35.165, 34.9858
02/05/2020, 34.936, 13281, 35.2248, 35.2248, 34.8534
02/04/2020, 34.9759, 10126, 34.8663, 35.081, 34.6043
02/03/2020, 34.5629, 15062, 34.7269, 34.8315, 34.5481
01/31/2020, 34.5472, 21176, 35.0555, 35.0555, 34.5134
01/30/2020, 35.3035, 19454, 35.2745, 35.4737, 35.1451
01/29/2020, 35.3059, 9829, 35.2944, 35.3741, 35.0664
01/28/2020, 35.1498, 8321, 34.95, 35.1948, 34.95
01/27/2020, 34.8321, 12301, 34.7369, 34.9686, 34.719
01/24/2020, 34.9013, 11619, 34.936, 34.9958, 34.8066
01/23/2020, 34.8481, 9448, 34.5278, 34.8772, 34.3488
01/22/2020, 34.4531, 14030, 35.0754, 35.0754, 34.3825
01/21/2020, 34.8325, 16928, 34.5676, 34.8464, 34.491
01/17/2020, 34.4916, 18391, 34.2988, 34.6149, 34.2988
01/16/2020, 34.3334, 13210, 34.0798, 34.3521, 34.0798
01/15/2020, 33.9964, 14413, 33.7114, 34.1245, 33.7114
01/14/2020, 33.641, 8237, 33.9504, 33.9504, 33.5571
01/13/2020, 33.8991, 13909, 33.4127, 33.8991, 33.4127
01/10/2020, 33.2954, 74227, 33.0344, 33.3351, 33.0344
01/09/2020, 33.0227, 56669, 33.3331, 33.3331, 32.9946
01/08/2020, 33.0454, 91939, 32.9448, 33.1041, 32.8462
01/07/2020, 32.9498, 14304, 33.2634, 33.2634, 32.8452
01/06/2020, 33.2355, 8602, 33.2136, 33.4575, 33.1638
01/03/2020, 33.2805, 16335, 32.7755, 33.3198, 32.7178
01/02/2020, 32.8279, 30288, 33.8508, 33.8508, 32.6068
12/31/2019, 33.1638, 9772, 32.9946, 33.2833, 32.9946
12/30/2019, 32.9747, 15333, 32.9448, 32.9946, 32.8551
12/27/2019, 32.9283, 4069, 32.9299, 32.9647, 32.8615
12/26/2019, 32.8184, 6880, 32.7943, 32.9448, 32.7556
12/24/2019, 32.7109, 49027, 32.6461, 32.7755, 32.5467
12/23/2019, 32.5823, 72527, 32.8294, 32.8294, 32.573
12/20/2019, 32.7044, 12720, 32.6519, 32.8196, 32.6007
12/19/2019, 32.573, 6918, 32.531, 32.5897, 32.494
12/18/2019, 32.5523, 13903, 32.4447, 32.6078, 32.3954
12/17/2019, 32.3405, 6424, 32.642, 32.642, 32.3405
12/16/2019, 32.6433, 24685, 32.6981, 32.6981, 32.3583
12/13/2019, 32.5772, 24336, 32.6913, 32.6913, 32.2277
12/12/2019, 32.6916, 14746, 33.0859, 33.2635, 32.573
12/11/2019, 33.0808, 17628, 33.6137, 33.6137, 33.0366
12/10/2019, 33.6064, 17085, 33.8208, 33.8948, 33.5721
12/09/2019, 33.7143, 33858, 33.8455, 33.8455, 33.589
12/06/2019, 33.745, 6714, 33.8014, 33.954, 33.7121
12/05/2019, 33.7244, 33819, 33.7567, 33.7962, 33.6136
12/04/2019, 33.7658, 15784, 33.8948, 33.954, 33.7468
12/03/2019, 33.8005, 9105, 33.7525, 33.8179, 33.7139
12/02/2019, 33.5382, 9437, 34.467, 34.467, 33.5382
11/29/2019, 33.9223, 3673, 34.2401, 34.2401, 33.9223
11/27/2019, 34.1051, 15303, 33.9836, 34.1217, 33.8554
11/26/2019, 33.9398, 9538, 33.6383, 33.9639, 33.5397
11/25/2019, 33.4805, 21794, 33.3917, 33.6185, 33.3917
11/22/2019, 33.3264, 43405, 33.4805, 33.4805, 33.1412
11/21/2019, 33.4904, 8208, 33.8455, 33.8455, 33.4608
11/20/2019, 33.8411, 17111, 33.8751, 33.9047, 33.6643
11/19/2019, 33.7956, 20913, 33.6877, 33.8554, 33.5693
11/18/2019, 33.5382, 12520, 33.5791, 33.6975, 33.4879
11/15/2019, 33.4941, 14013, 33.5496, 33.5791, 33.4312
11/14/2019, 33.3806, 13060, 33.1944, 33.3819, 33.1944
11/13/2019, 33.0757, 5891, 32.8689, 33.0958, 32.8689
11/12/2019, 32.772, 8498, 32.8985, 33.2043, 32.772
11/11/2019, 32.9077, 11127, 32.9281, 33.0113, 32.7407
11/08/2019, 32.8844, 7234, 32.8689, 33.0859, 32.8689
11/07/2019, 32.9969, 11212, 33.0859, 33.1157, 32.9005
11/06/2019, 32.9873, 10286, 32.7505, 33.0464, 32.7505
11/05/2019, 32.7702, 26365, 33.4114, 33.4114, 32.6864
11/04/2019, 33.401, 17198, 33.5298, 33.5298, 33.2488
11/01/2019, 33.3994, 15352, 33.6679, 33.6679, 33.224
10/31/2019, 33.4813, 16447, 33.5002, 33.6679, 33.4795
10/30/2019, 33.348, 28196, 33.1254, 33.3523, 33.0514
10/29/2019, 33.0465, 30706, 32.9379, 33.2428, 32.9379
10/28/2019, 32.9435, 13171, 33.0267, 33.1343, 32.9066
10/25/2019, 32.5732, 4335, 32.8196, 32.8196, 32.5434
10/24/2019, 32.7321, 6807, 32.6617, 32.79, 32.6617
10/23/2019, 32.5173, 11829, 32.2573, 32.5231, 32.2573
10/22/2019, 32.4201, 23857, 32.7111, 32.7111, 32.4177
10/21/2019, 32.5631, 9883, 32.3066, 32.5631, 32.3066
10/18/2019, 32.3009, 8166, 32.3066, 32.3263, 32.1558
10/17/2019, 32.217, 17206, 32.2376, 32.3066, 32.1766
10/16/2019, 32.0515, 3907, 32.0995, 32.0995, 31.8647
10/15/2019, 32.0995, 8054, 32.041, 32.1093, 31.8479
10/14/2019, 31.8824, 5743, 31.9712, 31.9712, 31.7345
10/11/2019, 31.8927, 3302, 31.9712, 32.0531, 31.889
10/10/2019, 31.7548, 4896, 31.832, 31.8627, 31.7351
10/09/2019, 31.9215, 4904, 32.208, 32.208, 31.912
10/08/2019, 31.9861, 4607, 32.06, 32.1784, 31.7443
10/07/2019, 32.0985, 13086, 32.0896, 32.2672, 32.0491
10/04/2019, 32.1206, 8243, 32.1604, 32.1685, 32.0624
10/03/2019, 31.9902, 2296, 31.7635, 32.1192, 31.7635
10/02/2019, 31.7273, 6124, 31.5569, 31.7273, 31.4977
10/01/2019, 31.6138, 8593, 31.9811, 31.9811, 31.3201
09/30/2019, 31.9744, 15411, 31.9712, 32.1132, 31.93
09/27/2019, 31.9821, 7139, 32.3066, 32.3066, 31.8389
