Date, Close/Last, Volume, Open, High, Low
06/01/2020, 8051.72, 0, 8022.45, 8109.26, 7971.82
05/29/2020, 8015.93, 0, 8036.91, 8052.06, 7918.99
05/28/2020, 8141.89, 0, 8290.39, 8296.75, 8129.27
05/27/2020, 8177.38, 0, 8223.07, 8249.6, 8082.92
05/26/2020, 8013.3, 0, 8081.31, 8109.97, 7996.97
05/22/2020, 7817.18, 0, 7840.25, 7840.25, 7728.06
05/21/2020, 7806.49, 0, 7666.5, 7842.87, 7662.08
05/20/2020, 7689.42, 0, 7578.21, 7740.84, 7569.32
05/19/2020, 7505.15, 0, 7595.26, 7626.98, 7505.15
05/18/2020, 7629.68, 0, 7522.17, 7678.96, 7522.17
05/15/2020, 7255.15, 0, 7154.77, 7259.99, 7087.81
05/14/2020, 7210.15, 0, 6981.22, 7216.61, 6851.67
05/13/2020, 7082.34, 0, 7335.35, 7354.97, 7062.91
05/12/2020, 7396.26, 0, 7651, 7678.65, 7393.6
05/11/2020, 7601.06, 0, 7610.07, 7701.38, 7549.38
05/08/2020, 7677, 0, 7618.32, 7685.8, 7530.34
05/07/2020, 7510.97, 0, 7309.16, 7557.75, 7309.16
05/06/2020, 7212.64, 0, 7462.83, 7493.58, 7202.92
05/05/2020, 7447.66, 0, 7437.25, 7547.54, 7423.92
05/04/2020, 7343.54, 0, 7252.12, 7354.94, 7211.44
05/01/2020, 7337.69, 0, 7320.06, 7414.47, 7288.38
04/30/2020, 7495.16, 0, 7568.44, 7623.83, 7479.65
04/29/2020, 7707.85, 0, 7679.24, 7784.21, 7609.74
04/28/2020, 7509.73, 0, 7634.59, 7651.62, 7468.06
04/27/2020, 7540.06, 0, 7416, 7562.25, 7409.27
04/24/2020, 7338.41, 0, 7388.17, 7391.65, 7238.59
04/23/2020, 7347.84, 0, 7487.39, 7539.23, 7329.25
04/22/2020, 7491.63, 0, 7624.71, 7636.01, 7479.61
04/21/2020, 7455.47, 0, 7491.17, 7623.77, 7447.03
04/20/2020, 7708.29, 0, 7728.49, 7786, 7616.43
04/17/2020, 7875.05, 0, 7824.64, 7897.87, 7754.87
04/16/2020, 7581.24, 0, 7589.33, 7595.29, 7429.22
04/15/2020, 7576.76, 0, 7779.2, 7812.37, 7568.55
04/14/2020, 8012.42, 0, 7983.44, 8083.76, 7937.01
04/13/2020, 7822.2, 0, 8007.17, 8007.17, 7752.67
04/09/2020, 8057.09, 0, 7863.22, 8059.19, 7859.94
04/08/2020, 7703.09, 0, 7470.25, 7751.73, 7394.71
04/07/2020, 7450.8, 0, 7690.57, 7728.55, 7442.67
04/06/2020, 7402.65, 0, 7166.79, 7429.26, 7145.79
04/03/2020, 6877.24, 0, 7009.05, 7093.04, 6772.42
04/02/2020, 7073.13, 0, 6960.1, 7221.86, 6949.42
04/01/2020, 7046.32, 0, 7179.02, 7258, 6946.51
