Date, Close/Last, Volume, Open, High, Low
06/01/2020, 9598.89, 0, 9526.43, 9609.38, 9515.34
05/29/2020, 9555.52, 0, 9440.64, 9573.55, 9379.93
05/28/2020, 9416.71, 0, 9404.83, 9568.89, 9391.84
05/27/2020, 9442.05, 0, 9366.63, 9445.06, 9182.45
05/26/2020, 9389.98, 0, 9570.53, 9570.53, 9379.9
05/22/2020, 9413.99, 0, 9363.68, 9421.93, 9325.07
05/21/2020, 9377.99, 0, 9487.63, 9515.05, 9361.83
05/20/2020, 9485.02, 0, 9415.25, 9498.28, 9412.83
05/19/2020, 9298.54, 0, 9326.28, 9422.9, 9296.25
05/18/2020, 9331.93, 0, 9281.36, 9367.54, 9248.78
05/15/2020, 9152.64, 0, 8976.29, 9157.46, 8958.08
05/14/2020, 9094.43, 0, 8946.45, 9097.75, 8860.77
05/13/2020, 9000.08, 0, 9123.69, 9209.49, 8890.16
05/12/2020, 9112.45, 0, 9326.06, 9354.45, 9109.09
05/11/2020, 9298.92, 0, 9155.21, 9346.27, 9155.21
05/08/2020, 9220.35, 0, 9165.7, 9224.49, 9126.97
05/07/2020, 9101.88, 0, 9104.67, 9136.18, 9045.23
05/06/2020, 8984.86, 0, 8997.02, 9065.58, 8950.89
05/05/2020, 8930.62, 0, 8922.39, 9031, 8900.57
05/04/2020, 8834.11, 0, 8683.94, 8840.33, 8665.4
05/01/2020, 8718.18, 0, 8791.88, 8887.58, 8688.58
04/30/2020, 9000.51, 0, 9005.24, 9023.03, 8920.42
04/29/2020, 8982.76, 0, 8871.04, 9025.82, 8832
04/28/2020, 8677.6, 0, 8913.28, 8918.38, 8668.67
04/27/2020, 8837.66, 0, 8865.58, 8887.62, 8803.88
04/24/2020, 8786.6, 0, 8666.57, 8791.36, 8599.99
04/23/2020, 8641.5, 0, 8693.73, 8796.49, 8624.63
04/22/2020, 8664.63, 0, 8575.57, 8708.48, 8550.61
04/21/2020, 8403, 0, 8639.74, 8663.09, 8359.84
04/20/2020, 8726.51, 0, 8742.54, 8855.18, 8725.32
04/17/2020, 8832.41, 0, 8876.66, 8879.24, 8704.38
04/16/2020, 8757.83, 0, 8689.09, 8793.35, 8605.51
04/15/2020, 8591.96, 0, 8548.47, 8666.24, 8500.56
04/14/2020, 8692.16, 0, 8489.27, 8708.55, 8470.74
04/13/2020, 8332.74, 0, 8209.68, 8338.15, 8158.58
04/09/2020, 8238.53, 0, 8284.31, 8334.23, 8167.93
04/08/2020, 8229.54, 0, 8134.3, 8254.41, 8058.41
04/07/2020, 8049.31, 0, 8287.48, 8305.59, 8043.07
04/06/2020, 8081.66, 0, 7819.06, 8110.66, 7763.09
04/03/2020, 7528.11, 0, 7631.57, 7673.49, 7439.78
04/02/2020, 7635.66, 0, 7445.88, 7641.86, 7432.28
04/01/2020, 7486.29, 0, 7582.78, 7701.68, 7423.97
03/31/2020, 7813.5, 0, 7855.74, 8011.6, 7765.45
03/30/2020, 7889.01, 0, 7678.83, 7902.09, 7651.43
03/27/2020, 7588.37, 0, 7657.44, 7817.74, 7580.22
03/26/2020, 7897.13, 0, 7549.83, 7913.11, 7549.83
03/25/2020, 7469.62, 0, 7543.96, 7777.61, 7390.41
03/24/2020, 7553.82, 0, 7348.99, 7555.91, 7304.39
03/23/2020, 7006.92, 0, 6952.71, 7145.29, 6771.91
03/20/2020, 6994.29, 0, 7391.22, 7487.83, 6969.77
