Date, Close/Last, Volume, Open, High, Low
06/01/2020, 409.6034, 0, 409.1125, 411.9332, 407.9384
05/29/2020, 411.0025, 0, 400.2138, 411.1164, 396.2878
05/28/2020, 398.4135, 0, 398.0604, 404.0985, 396.2945
05/27/2020, 397.8879, 0, 391.7937, 398.0721, 387.2022
05/26/2020, 390.7847, 0, 396.6737, 396.6737, 389.9045
05/22/2020, 390.8093, 0, 388.6367, 392.0125, 385.9832
05/21/2020, 387.7489, 0, 397.2657, 397.6527, 387.3441
05/20/2020, 396.4834, 0, 395.4181, 399.024, 394.2776
05/19/2020, 391.8809, 0, 391.5974, 395.4461, 390.4507
05/18/2020, 396.1754, 0, 392.7534, 398.0874, 390.6094
05/15/2020, 386.2142, 0, 376.8368, 386.7909, 376.1157
05/14/2020, 381.2836, 0, 377.4056, 383.2675, 375.8127
05/13/2020, 371.1867, 0, 380.5537, 382.3223, 366.4118
05/12/2020, 380.1731, 0, 388.4072, 389.4981, 380.0929
05/11/2020, 384.954, 0, 381.7617, 387.6876, 380.8457
05/08/2020, 385.0131, 0, 378.2124, 385.2341, 375.4526
05/07/2020, 372.8722, 0, 370.4603, 373.54, 368.8062
05/06/2020, 361.6024, 0, 366.2824, 367.13, 361.4704
05/05/2020, 365.127, 0, 365.4214, 368.8528, 364.2075
05/04/2020, 363.5795, 0, 358.7058, 363.7497, 356.5791
05/01/2020, 358.8118, 0, 364.0624, 365.8017, 357.9279
04/30/2020, 369.6091, 0, 375.8021, 376.0866, 369.1487
04/29/2020, 379.2149, 0, 377.9943, 380.7566, 375.8422
04/28/2020, 372.9772, 0, 383.5139, 383.5944, 372.662
04/27/2020, 378.6375, 0, 375.814, 379.5557, 375.4144
04/24/2020, 373.1465, 0, 372.2592, 374.0324, 369.6588
04/23/2020, 369.5158, 0, 368.5954, 374.4168, 367.8154
04/22/2020, 366.632, 0, 364.4607, 368.6518, 361.0584
04/21/2020, 355.9342, 0, 365.5485, 366.3666, 353.4971
04/20/2020, 370.4412, 0, 366.4322, 376.4576, 366.4322
04/17/2020, 371.7502, 0, 373.133, 373.4622, 367.4375
04/16/2020, 365.3584, 0, 364.1555, 366.1167, 358.6581
04/15/2020, 363.0133, 0, 364.0213, 366.1623, 359.8747
04/14/2020, 370.6875, 0, 363.6985, 371.164, 362.7455
04/13/2020, 358.1766, 0, 356.9237, 359.2475, 353.5813
04/09/2020, 357.7421, 0, 361.6626, 361.847, 354.2533
04/08/2020, 358.2539, 0, 354.6482, 359.7215, 352.2633
04/07/2020, 350.6437, 0, 361.7116, 362.1703, 350.3123
04/06/2020, 354.3318, 0, 344.2012, 355.9048, 340.4911
04/03/2020, 335.9901, 0, 342.0955, 343.7494, 332.0049
04/02/2020, 341.4912, 0, 332.1747, 343.6278, 330.2741
04/01/2020, 336.6518, 0, 335.3569, 342.002, 333.7251
03/31/2020, 344.1416, 0, 346.935, 350.3354, 341.3065
03/30/2020, 349.3257, 0, 344.3927, 349.9358, 341.6387
03/27/2020, 340.7449, 0, 341.9651, 349.4252, 338.1219
03/26/2020, 352.1217, 0, 332.5647, 353.7928, 330.0212
03/25/2020, 329.8644, 0, 333.5438, 344.0351, 328.838
03/24/2020, 332.1048, 0, 321.717, 332.2949, 314.5163
03/23/2020, 308.831, 0, 308.1807, 315.948, 298.1218
03/20/2020, 307.7648, 0, 324.3528, 327.3213, 306.0736
03/19/2020, 322.1041, 0, 309.3456, 330.0922, 305.4815
03/18/2020, 309.907, 0, 294.7949, 315.1454, 292.0679
03/17/2020, 311.2802, 0, 303.8153, 317.2379, 295.804
03/16/2020, 298.1673, 0, 299.2516, 319.0792, 289.6997
03/13/2020, 331.4155, 0, 314.621, 331.6369, 299.7881
03/12/2020, 300.0918, 0, 309.6641, 320.6595, 300.0918
03/11/2020, 333.6151, 0, 341.1201, 343.9019, 327.6877
03/10/2020, 349.9038, 0, 344.4697, 350.127, 332.6327
03/09/2020, 333.8791, 0, 330.2648, 348.2728, 329.6441
03/06/2020, 356.496, 0, 349.0062, 358.1864, 347.6465
03/05/2020, 360.9831, 0, 363.2935, 367.6746, 358.419
03/04/2020, 373.9114, 0, 366.6937, 374.2066, 362.1853
03/03/2020, 360.9501, 0, 370.3296, 376.4349, 357.5241
03/02/2020, 371.0104, 0, 363.0612, 371.0413, 353.0403
02/28/2020, 360.2498, 0, 352.7909, 363.2687, 350.8572
02/27/2020, 363.2511, 0, 370.5669, 376.5403, 363.106
02/26/2020, 377.4061, 0, 381.3856, 385.7767, 375.8796
02/25/2020, 380.7121, 0, 391.8262, 391.8262, 377.1596
02/24/2020, 389.9453, 0, 392.7714, 396.4056, 389.9055
02/21/2020, 404.8057, 0, 408.2538, 408.6721, 401.9913
02/20/2020, 409.4678, 0, 406.0365, 410.3164, 403.13
02/19/2020, 407.8277, 0, 409.2088, 410.2906, 405.8648
02/18/2020, 407.0688, 0, 404.0771, 407.226, 403.5009
02/14/2020, 405.1957, 0, 405.7615, 406.0054, 402.6061
02/13/2020, 406.6806, 0, 405.4312, 408.7044, 402.8066
02/12/2020, 419.3475, 0, 415.7266, 420.1397, 415.5977
02/11/2020, 413.5821, 0, 412.6194, 416.456, 411.7432
02/10/2020, 401.7166, 0, 398.2468, 401.8431, 396.6739
02/07/2020, 397.9116, 0, 398.6982, 400.4676, 395.8819
02/06/2020, 399.1443, 0, 398.5677, 400.0372, 397.4372
02/05/2020, 397.0578, 0, 396.8613, 398.7909, 395.4235
02/04/2020, 392.1608, 0, 390.3013, 392.6183, 388.0819
02/03/2020, 383.649, 0, 382.4404, 385.5528, 381.3837
01/31/2020, 378.9881, 0, 384.1602, 385.7379, 378.2863
01/30/2020, 387.5934, 0, 383.3599, 387.8044, 381.7854
01/29/2020, 386.6401, 0, 392.8251, 393.0481, 386.0149
01/28/2020, 392.2982, 0, 390.5886, 394.0215, 390.286
01/27/2020, 389.7286, 0, 391.6818, 392.7266, 388.6462
01/24/2020, 398.906, 0, 403.1248, 403.4464, 396.8588
01/23/2020, 400.9506, 0, 400.7897, 401.6848, 397.5098
01/22/2020, 401.6029, 0, 403.4118, 404.8338, 401.407
01/21/2020, 400.4454, 0, 400.357, 402.9253, 399.723
01/17/2020, 401.6295, 0, 403.8556, 404.9501, 400.5797
01/16/2020, 401.6645, 0, 396.6647, 401.7566, 396.3194
01/15/2020, 394.0874, 0, 392.1269, 395.7342, 392.0964
01/14/2020, 391.9508, 0, 391.7695, 392.9934, 389.8165
01/13/2020, 392.1233, 0, 388.0984, 392.1711, 387.8978
01/10/2020, 387.0712, 0, 389.3188, 389.7945, 386.2861
01/09/2020, 388.8097, 0, 391.1889, 391.5606, 387.1203
01/08/2020, 389.1616, 0, 386.1359, 390.9302, 385.0555
01/07/2020, 387.9147, 0, 388.1339, 388.3753, 385.9082
01/06/2020, 388.9591, 0, 383.6509, 389.0675, 383.5424
01/03/2020, 387.2949, 0, 388.4195, 389.546, 385.8231
01/02/2020, 392.0927, 0, 389.9936, 392.0927, 388.2635
12/31/2019, 388.5116, 0, 385.4299, 388.5822, 385.2039
12/30/2019, 386.3733, 0, 386.8539, 387.364, 384.1012
12/27/2019, 386.5336, 0, 388.3279, 388.3279, 385.9277
12/26/2019, 387.438, 0, 387.314, 388.1777, 386.3599
12/24/2019, 386.7754, 0, 387.9158, 388.5413, 386.0997
12/23/2019, 387.763, 0, 385.7724, 389.2888, 384.5102
12/20/2019, 385.1848, 0, 388.1426, 389.3652, 385.0226
12/19/2019, 387.3365, 0, 382.2397, 387.6639, 382.2239
12/18/2019, 379.8991, 0, 378.6353, 380.4664, 377.3174
12/17/2019, 378.1726, 0, 376.0259, 378.5632, 375.1628
12/16/2019, 375.743, 0, 375.0088, 378.8481, 375.0088
12/13/2019, 371.6058, 0, 374.3807, 375.6003, 371.021
12/12/2019, 372.9285, 0, 366.5714, 373.5367, 366.2181
12/11/2019, 365.0332, 0, 364.7024, 365.8594, 363.704
12/10/2019, 363.9088, 0, 363.5453, 364.6125, 362.8456
12/09/2019, 364.0015, 0, 365.9587, 368.1612, 363.6124
12/06/2019, 366.1041, 0, 366.2848, 367.1787, 364.3098
12/05/2019, 364.0095, 0, 367.831, 367.831, 363.3642
12/04/2019, 367.4751, 0, 370.4314, 371.1414, 367.3173
12/03/2019, 369.0421, 0, 367.7195, 369.1122, 364.5573
12/02/2019, 371.3144, 0, 376.2887, 376.4029, 370.4603
11/29/2019, 376.1324, 0, 375.7181, 377.4544, 375.6336
11/27/2019, 376.2029, 0, 375.9894, 376.9037, 374.3471
11/26/2019, 375.9467, 0, 376.1523, 378.4453, 375.0833
11/25/2019, 376.4943, 0, 374.0335, 376.9226, 373.8032
11/22/2019, 372.4471, 0, 373.1487, 373.3161, 370.6621
11/21/2019, 370.7906, 0, 372.559, 372.7372, 370.2979
11/20/2019, 372.3499, 0, 373.3135, 374.4666, 370.6354
11/19/2019, 374.1748, 0, 375.1256, 375.446, 372.099
11/18/2019, 373.3877, 0, 371.7328, 373.6013, 369.4536
11/15/2019, 373.2749, 0, 372.6623, 374.8755, 371.7972
11/14/2019, 370.9085, 0, 376.0854, 376.9853, 369.3708
11/13/2019, 389.6696, 0, 388.087, 390.9778, 387.985
11/12/2019, 389.1913, 0, 390.7936, 392.8101, 387.8107
11/11/2019, 389.9719, 0, 390.0211, 392.6809, 388.0036
11/08/2019, 395.0084, 0, 394.3101, 395.0671, 391.0503
11/07/2019, 393.0972, 0, 394.9329, 397.1379, 391.7987
11/06/2019, 391.7951, 0, 390.4295, 392.6882, 389.2806
11/05/2019, 389.4812, 0, 387.6372, 390.5559, 386.6017
11/04/2019, 387.32, 0, 389.2992, 390.8265, 386.5597
11/01/2019, 386.3347, 0, 385.2402, 388.202, 383.7479
10/31/2019, 387.8894, 0, 388.9246, 389.0108, 384.7247
10/30/2019, 388.322, 0, 385.1394, 388.596, 384.9559
10/29/2019, 385.1668, 0, 383.183, 385.8074, 381.8167
10/28/2019, 385.4681, 0, 384.8281, 387.4945, 384.6593
10/25/2019, 382.8242, 0, 380.7437, 384.0039, 380.6687
10/24/2019, 380.3382, 0, 384.7116, 385.0674, 378.6515
10/23/2019, 383.9906, 0, 386.2449, 386.6962, 382.7393
10/22/2019, 386.3564, 0, 387.1345, 388.6764, 386.3336
10/21/2019, 386.2503, 0, 384.2954, 387.0001, 384.0019
10/18/2019, 382, 0, 383.2446, 384.9945, 380.872
10/17/2019, 383.4193, 0, 383.6764, 383.7044, 379.7117
10/16/2019, 380.3329, 0, 378.8052, 380.6961, 377.8136
10/15/2019, 378.1419, 0, 376.0065, 379.4349, 375.5764
10/14/2019, 374.7209, 0, 377.9279, 378.1167, 374.5209
10/11/2019, 378.5382, 0, 378.8739, 382.6069, 378.1129
10/10/2019, 374.1198, 0, 372.6864, 374.5343, 370.4404
10/09/2019, 376.5023, 0, 377.0124, 378.5127, 375.9519
10/08/2019, 373.7558, 0, 379.2868, 379.8658, 373.4715
10/07/2019, 382.3759, 0, 379.4305, 384.2683, 379.2446
10/04/2019, 380.1951, 0, 377.4561, 380.4465, 376.3297
10/03/2019, 376.4565, 0, 371.135, 376.9569, 367.9791
10/02/2019, 373.2579, 0, 377.2644, 377.3111, 369.6662
10/01/2019, 381.7718, 0, 394.0473, 394.3963, 379.7285
09/30/2019, 392.1715, 0, 389.5727, 393.7391, 389.5384
09/27/2019, 388.1812, 0, 391.0681, 392.9139, 386.0936
09/26/2019, 390.6815, 0, 394.5942, 394.5942, 388.1081
09/25/2019, 395.7726, 0, 390.9472, 396.8408, 388.6132
09/24/2019, 392.045, 0, 397.9304, 399.4248, 390.9405
09/23/2019, 395.2331, 0, 396.0331, 397.1943, 394.6683
09/20/2019, 397.1231, 0, 396.68, 398.3032, 392.1249
09/19/2019, 395.4845, 0, 396.8018, 399.8335, 394.9672
09/18/2019, 395.349, 0, 395.4694, 397.7024, 391.8347
09/17/2019, 396.1611, 0, 398.4799, 398.7367, 394.4777
09/16/2019, 399.0301, 0, 397.0811, 399.8838, 396.9844
09/13/2019, 398.9957, 0, 400.1551, 400.91, 398.4616
09/12/2019, 399.3885, 0, 399.9864, 401.8979, 396.4535
09/11/2019, 399.8793, 0, 395.6682, 399.8871, 393.4824
09/10/2019, 392.731, 0, 387.9908, 393.1087, 385.1057
09/09/2019, 389.5582, 0, 391.255, 391.5865, 388.3036
09/06/2019, 390.6137, 0, 388.4988, 391.389, 386.8352
09/05/2019, 387.2174, 0, 385.1654, 389.2981, 383.5887
09/04/2019, 380.604, 0, 379.4782, 381.1944, 378.2478
09/03/2019, 375.7308, 0, 376.9806, 378.7831, 374.2924
08/30/2019, 378.986, 0, 382.3634, 382.7728, 377.2671
08/29/2019, 381.0011, 0, 381.9258, 383.5999, 380.1118
08/28/2019, 376.9474, 0, 374.4797, 377.4741, 372.2685
08/27/2019, 375.7827, 0, 381.4248, 381.6509, 375.5113
08/26/2019, 379.1047, 0, 377.6543, 379.4397, 375.6661
08/23/2019, 374.8238, 0, 384.0958, 387.461, 373.7756
08/22/2019, 385.6259, 0, 390.4755, 391.1997, 384.6851
08/21/2019, 388.9934, 0, 387.2517, 389.7319, 387.2517
08/20/2019, 383.8993, 0, 387.3354, 387.8167, 383.843
08/19/2019, 387.9239, 0, 385.4416, 388.5599, 383.0962
08/16/2019, 379.2785, 0, 378.4851, 381.0074, 376.9943
08/15/2019, 374.4584, 0, 378.5471, 382.4566, 372.6401
08/14/2019, 394.8298, 0, 401.2093, 402.1724, 393.049
08/13/2019, 407.6954, 0, 398.9272, 410.0425, 398.2653
08/12/2019, 400.5154, 0, 404.4689, 405.586, 399.4964
08/09/2019, 406.4606, 0, 408.5107, 409.5066, 404.3174
08/08/2019, 412.1056, 0, 408.7277, 412.7506, 407.8191
08/07/2019, 405.1218, 0, 401.0251, 406.1673, 397.9906
08/06/2019, 407.2699, 0, 402.8284, 407.7761, 400.9918
08/05/2019, 400.0331, 0, 404.8727, 406.2219, 396.8087
08/02/2019, 412.7344, 0, 417.3992, 418.3566, 408.7544
08/01/2019, 425.3091, 0, 429.1879, 435.3823, 423.7497
07/31/2019, 427.3821, 0, 434.1626, 436.5802, 423.8362
07/30/2019, 434.7684, 0, 436.8242, 437.5527, 434.107
07/29/2019, 438.8282, 0, 440.4417, 440.466, 436.9873
07/26/2019, 438.8963, 0, 435.9855, 439.1389, 435.2378
07/25/2019, 433.1169, 0, 437.191, 437.5792, 432.4077
07/24/2019, 436.727, 0, 436.1829, 437.4406, 435.2053
07/23/2019, 435.9119, 0, 436.5009, 437.0255, 433.425
07/22/2019, 434.3147, 0, 433.3274, 435.6159, 433.0382
07/19/2019, 432.7838, 0, 434.9782, 436.6443, 432.6076
07/18/2019, 435.3833, 0, 433.6661, 435.5961, 430.3437
07/17/2019, 434.2276, 0, 436.2265, 437.5102, 434.1491
07/16/2019, 436.7958, 0, 439.8642, 440.1321, 436.1974
07/15/2019, 439.6721, 0, 439.8882, 440.0486, 437.9744
07/12/2019, 438.9485, 0, 436.3801, 439.1473, 436.0598
07/11/2019, 434.3932, 0, 434.9811, 436.2593, 432.4477
07/10/2019, 433.9907, 0, 431.3016, 436.6452, 431.3016
07/09/2019, 426.8777, 0, 425.9533, 428.4745, 424.7477
07/08/2019, 425.1192, 0, 425.1461, 427.1052, 424.4855
07/05/2019, 428.4043, 0, 425.5639, 429.0282, 422.893
07/03/2019, 427.0453, 0, 423.1837, 428.2048, 422.6289
07/02/2019, 422.8182, 0, 417.6405, 423.3475, 417.0746
07/01/2019, 416.9669, 0, 419.8012, 419.8012, 414.1905
06/28/2019, 415.9288, 0, 419.9157, 420.4921, 412.0539
06/27/2019, 418.9554, 0, 424.0005, 425.6007, 417.5422
06/26/2019, 421.5204, 0, 422.0524, 425.3921, 421.4048
06/25/2019, 420.1066, 0, 427.3542, 427.4584, 419.9914
06/24/2019, 427.5613, 0, 427.9741, 429.002, 425.5459
06/21/2019, 427.6972, 0, 431.532, 434.1997, 427.4649
06/20/2019, 432.4938, 0, 432.4314, 433.3011, 428.3204
06/19/2019, 426.127, 0, 424.5326, 427.2423, 423.4307
06/18/2019, 424.2045, 0, 422.0089, 427.161, 421.4319
06/17/2019, 418.3787, 0, 416.1235, 418.9441, 415.4069
06/14/2019, 414.8236, 0, 421.2941, 421.5049, 414.2164
06/13/2019, 422.5745, 0, 422.4914, 423.2833, 420.2328
06/12/2019, 421.0844, 0, 422.3988, 424.6802, 419.6312
06/11/2019, 427.0203, 0, 428.8051, 431.4237, 425.6062
06/10/2019, 425.5258, 0, 424.3312, 427.7999, 423.5499
06/07/2019, 422.9122, 0, 418.8137, 424.8481, 417.8314
06/06/2019, 416.4046, 0, 415.6349, 417.7395, 411.9248
06/05/2019, 415.2189, 0, 410.4635, 415.4177, 409.578
06/04/2019, 407.03, 0, 402.5186, 408.3241, 402.1699
06/03/2019, 397.8673, 0, 398.1682, 402.3533, 396.2011
05/31/2019, 398.2431, 0, 403.6571, 403.7878, 398.2166
05/30/2019, 409.3677, 0, 408.3821, 410.6384, 407.7883
05/29/2019, 407.336, 0, 407.8808, 409.2908, 405.3313
05/28/2019, 410.9555, 0, 416.4233, 418.6619, 410.7347
05/24/2019, 415.3096, 0, 415.0453, 416.0332, 412.199
05/23/2019, 412.3208, 0, 416.5966, 416.5966, 410.8639
05/22/2019, 421.7847, 0, 424.2809, 425.3616, 421.6742
05/21/2019, 426.5938, 0, 427.3038, 428.0823, 425.1615
05/20/2019, 424.3755, 0, 425.3657, 427.873, 422.4225
05/17/2019, 424.4013, 0, 421.1489, 428.2949, 420.7101
05/16/2019, 423.6497, 0, 415.7948, 427.0867, 414.572
05/15/2019, 406.7272, 0, 401.3734, 407.5114, 400.9253
05/14/2019, 403.3214, 0, 401.1178, 405.6356, 400.7118
05/13/2019, 399.2325, 0, 404.423, 405.7083, 398.2324
05/10/2019, 414.887, 0, 409.1515, 415.9003, 405.1105
05/09/2019, 412.4627, 0, 410.2913, 413.6948, 407.7653
05/08/2019, 415.99, 0, 416.0862, 419.1524, 415.3352
05/07/2019, 417.1203, 0, 419.8362, 422.0142, 413.7695
05/06/2019, 424.6824, 0, 418.3686, 425.7218, 418.2674
05/03/2019, 427.5315, 0, 422.924, 427.6184, 422.402
05/02/2019, 425.3155, 0, 428.2857, 430.5627, 423.3907
05/01/2019, 428.9154, 0, 431.8373, 433.6095, 428.6688
04/30/2019, 431.1091, 0, 431.6264, 432.1867, 427.9744
04/29/2019, 432.4981, 0, 429.5572, 433.2155, 429.192
04/26/2019, 430.1723, 0, 433.2331, 433.2361, 429.049
04/25/2019, 431.8896, 0, 434.3909, 434.3945, 429.3724
04/24/2019, 436.278, 0, 436.1653, 438.258, 435.4887
04/23/2019, 436.5807, 0, 434.2964, 436.6087, 433.4515
04/22/2019, 434.4649, 0, 433.1288, 435.2226, 432.0737
04/18/2019, 434.0752, 0, 433.7387, 434.5238, 431.3398
04/17/2019, 432.5314, 0, 437.6922, 438.993, 432.2588
04/16/2019, 437.1273, 0, 435.4024, 439.3969, 435.3456
04/15/2019, 434.2954, 0, 434.1121, 434.5265, 431.8796
04/12/2019, 432.9794, 0, 430.3485, 433.3711, 429.8306
04/11/2019, 428.1667, 0, 428.6931, 428.6931, 425.5889
04/10/2019, 428.5466, 0, 424.4612, 428.6115, 424.2951
04/09/2019, 423.5054, 0, 423.7547, 425.3453, 421.6758
04/08/2019, 425.5754, 0, 422.6552, 425.6638, 420.3969
04/05/2019, 423.3826, 0, 422.9895, 425.1791, 422.8724
